replica,row,epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,d3,40,56560.0,8.19e-05,0.034471,28.5492,0.73205,1072.1
1,d3,41,57974.0,7.5e-05,0.034425,28.4738,0.73203,1073.5
1,d3,42,59388.0,6.83e-05,0.03444,28.5535,0.7319,1072.0
1,d3,43,60802.0,6.183e-05,0.03441,28.5262,0.73123,1070.7
1,d3,44,62216.0,5.56e-05,0.034411,28.5162,0.73179,1072.6
1,d3,45,63630.0,4.963e-05,0.034336,28.5779,0.73232,1072.4
1,d3,46,65044.0,4.393e-05,0.034375,28.5765,0.73289,1072.7
1,d3,47,66458.0,3.853e-05,0.034396,28.5754,0.73237,1070.3
1,d3,48,67872.0,3.343e-05,0.034301,28.5947,0.73236,1071.7
1,d3,49,69286.0,2.865e-05,0.034387,28.5775,0.73215,1069.1
1,d3,50,70700.0,2.42e-05,0.034334,28.6258,0.73214,1070.6
1,d3,51,72114.0,2.01e-05,0.034311,28.6083,0.73303,1071.0
1,d3,52,73528.0,1.635e-05,0.034364,28.6148,0.73297,1070.1
1,d3,53,74942.0,1.297e-05,0.034307,28.6195,0.73316,1070.3
1,d3,54,76356.0,9.963e-06,0.034314,28.6079,0.7329,1070.8
1,d3,55,77770.0,7.342e-06,0.034235,28.6208,0.7331,1071.4
1,d3,56,79184.0,5.111e-06,0.03425,28.6376,0.73292,1070.4
1,d3,57,80598.0,3.278e-06,0.034304,28.6276,0.73314,1070.3
1,d3,58,82012.0,1.847e-06,0.03427,28.6287,0.73311,1071.4
1,d3,59,83426.0,8.217e-07,0.03427,28.6287,0.73313,1072.7
1,d3,60,84840.0,2.056e-07,0.034292,28.6319,0.73312,1057.3
1,d3n,1,1414.0,0.0003,0.038209,27.5433,0.69903,1060.6
1,d3n,2,2828.0,0.0002998,0.037527,27.6146,0.70399,1054.6
1,d3n,3,4242.0,0.0002992,0.03729,27.7574,0.70145,1057.7
1,d3n,4,5656.0,0.0002982,0.037055,27.7637,0.70535,1061.2
1,d3n,5,7070.0,0.0002967,0.037044,27.7991,0.70492,1063.2
1,d3n,6,8484.0,0.0002949,0.036916,27.8158,0.70599,1059.2
1,d3n,7,9898.0,0.0002927,0.036793,27.7325,0.70778,1061.4
1,d3n,8,11312.0,0.00029,0.036778,27.7872,0.70813,1060.5
1,d3n,9,12726.0,0.000287,0.03672,27.8786,0.70655,1057.1
1,d3n,10,14140.0,0.0002837,0.036627,27.7713,0.70866,1059.6
1,d3n,11,15554.0,0.0002799,0.036635,27.8551,0.7077,1059.1
1,d3n,12,16968.0,0.0002758,0.036601,27.9297,0.70808,1056.4
1,d3n,13,18382.0,0.0002714,0.036551,27.8347,0.70889,1060.6
1,d3n,14,19796.0,0.0002666,0.036512,27.9511,0.70909,1058.6
1,d3n,15,21210.0,0.0002615,0.036469,27.9,0.70924,1058.5
1,d3n,16,22624.0,0.0002561,0.036435,27.8938,0.70937,1060.2
1,d3n,17,24038.0,0.0002504,0.036373,27.8364,0.70963,1058.4
1,d3n,18,25452.0,0.0002444,0.03641,27.9029,0.71075,1061.2
1,d3n,19,26866.0,0.0002382,0.036402,27.9279,0.71153,1060.7
1,d3n,20,28280.0,0.0002317,0.036399,27.9232,0.71082,1061.5
1,d3n,21,29694.0,0.000225,0.036253,27.9427,0.71004,1062.1
1,d3n,22,31108.0,0.0002181,0.036335,27.9171,0.71183,1065.3
1,d3n,23,32522.0,0.000211,0.036292,27.9302,0.70999,1061.7
1,d3n,24,33936.0,0.0002038,0.036223,27.9179,0.7115,1060.4
1,d3n,25,35350.0,0.0001964,0.036178,27.9843,0.71093,1061.1
1,d3n,26,36764.0,0.0001888,0.036227,27.9553,0.70996,1061.4
1,d3n,27,38178.0,0.0001812,0.036196,27.9757,0.71083,1059.5
1,d3n,28,39592.0,0.0001735,0.036189,27.9416,0.71157,1062.1
1,d3n,29,41006.0,0.0001657,0.036249,27.9287,0.71126,1064.6
1,d3n,30,42420.0,0.0001579,0.036106,27.9529,0.71087,1060.8
1,d3n,31,43834.0,0.00015,0.036153,28.0136,0.71148,1062.2
1,d3n,32,45248.0,0.0001421,0.036181,28.0205,0.71223,1063.1
1,d3n,33,46662.0,0.0001343,0.036085,27.9834,0.71262,1060.8
1,d3n,34,48076.0,0.0001265,0.036097,27.972,0.71163,1059.9
1,d3n,35,49490.0,0.0001188,0.03607,27.9336,0.71215,1062.9
1,d3n,36,50904.0,0.0001112,0.036087,28.0102,0.71287,1063.2
1,d3n,37,52318.0,0.0001036,0.036059,28.0107,0.71278,1058.6
1,d3n,38,53732.0,9.624e-05,0.035989,27.9901,0.71259,1059.1
1,d3n,39,55146.0,8.899e-05,0.036048,27.9695,0.71226,1064.2
1,d3n,40,56560.0,8.19e-05,0.035993,28.0408,0.71348,1062.2
1,d3n,41,57974.0,7.5e-05,0.035959,28.0127,0.71321,1062.8
1,d3n,42,59388.0,6.83e-05,0.035987,28.0434,0.71292,1060.5
1,d3n,43,60802.0,6.183e-05,0.035961,28.015,0.71291,1060.4
1,d3n,44,62216.0,5.56e-05,0.035961,28.0366,0.71389,1061.0
1,d3n,45,63630.0,4.963e-05,0.035898,28.0302,0.71344,1061.5
1,d3n,46,65044.0,4.393e-05,0.035947,28.0244,0.71406,1061.1
1,d3n,47,66458.0,3.853e-05,0.035961,28.0403,0.7136,1058.1
1,d3n,48,67872.0,3.343e-05,0.035888,28.0552,0.71383,1062.6
1,d3n,49,69286.0,2.865e-05,0.035976,28.0541,0.71354,1062.3
1,d3n,50,70700.0,2.42e-05,0.035913,28.0803,0.71346,1060.2
1,d3n,51,72114.0,2.01e-05,0.035901,28.0412,0.71396,1062.6
1,d3n,52,73528.0,1.635e-05,0.035958,28.0508,0.71394,1060.3
1,d3n,53,74942.0,1.297e-05,0.035902,28.0571,0.71373,1058.1
1,d3n,54,76356.0,9.963e-06,0.035907,28.0532,0.71373,1059.8
1,d3n,55,77770.0,7.342e-06,0.035854,28.0565,0.71379,1063.7
1,d3n,56,79184.0,5.111e-06,0.035861,28.0625,0.7139,1061.5
1,d3n,57,80598.0,3.278e-06,0.035914,28.0653,0.71393,1059.3
1,d3n,58,82012.0,1.847e-06,0.035881,28.0634,0.71392,1064.2
1,d3n,59,83426.0,8.217e-07,0.035892,28.0599,0.71391,1057.8
1,d3n,60,84840.0,2.056e-07,0.035896,28.0616,0.71391,1059.9
2,d0,1,1414.0,0.0003,0.027851,31.5234,0.8244,62.0
2,d0,2,2828.0,0.0002998,0.025045,32.137,0.83322,61.7
2,d0,3,4242.0,0.0002992,0.02417,32.1385,0.84776,62.0
2,d0,4,5656.0,0.0002982,0.023516,32.5439,0.85195,61.9
2,d0,5,7070.0,0.0002967,0.023066,32.7323,0.8455,61.7
2,d0,6,8484.0,0.0002949,0.022802,32.9366,0.86049,61.5
